================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-degraded
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

19:38:11 INFO     Complete: 96/96 successful, 0 with zero-window
560062 packets captured
560062 packets received by filter
0 packets dropped by kernel

================================================
Sweep complete!
================================================
Results: /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv
PCAP:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.pcap

To analyze:
  python3 /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/scripts/analyze.py /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv -o /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/

Cleaning up...
