================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-baseline
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-baseline.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

10:59:37 INFO       -> zero_window=0, throughput=1412KB/s, rtt_mean=13.6ms
10:59:37 INFO     [68/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
11:00:00 INFO       -> zero_window=0, throughput=3599KB/s, rtt_mean=16.3ms
11:00:01 INFO     [69/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.1%
11:00:19 INFO       -> zero_window=0, throughput=262KB/s, rtt_mean=13.6ms
11:00:19 INFO     [70/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
11:00:39 INFO       -> zero_window=0, throughput=947KB/s, rtt_mean=17.7ms
11:00:40 INFO     [71/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.2%
11:00:58 INFO       -> zero_window=0, throughput=240KB/s, rtt_mean=13.9ms
11:00:58 INFO     [72/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
11:01:18 INFO       -> zero_window=0, throughput=927KB/s, rtt_mean=17.6ms
11:01:18 INFO     [73/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.1%
11:01:39 INFO       -> zero_window=0, throughput=2177KB/s, rtt_mean=16.9ms
11:01:40 INFO     [74/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
11:02:07 INFO       -> zero_window=0, throughput=6234KB/s, rtt_mean=18.4ms
11:02:07 INFO     [75/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.2%
11:02:27 INFO       -> zero_window=0, throughput=1277KB/s, rtt_mean=16.6ms
11:02:27 INFO     [76/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.2%, cc=bbr
11:02:52 INFO       -> zero_window=0, throughput=5016KB/s, rtt_mean=18.9ms
11:02:53 INFO     [77/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.1%
11:03:11 INFO       -> zero_window=0, throughput=374KB/s, rtt_mean=17.6ms
11:03:11 INFO     [78/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
11:03:31 INFO       -> zero_window=0, throughput=1052KB/s, rtt_mean=19.7ms
11:03:31 INFO     [79/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.2%
11:03:49 INFO       -> zero_window=0, throughput=297KB/s, rtt_mean=16.8ms
11:03:50 INFO     [80/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
11:04:09 INFO       -> zero_window=0, throughput=784KB/s, rtt_mean=19.2ms
11:04:10 INFO     [81/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.1%
11:04:31 INFO       -> zero_window=0, throughput=2404KB/s, rtt_mean=13.9ms
11:04:31 INFO     [82/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
11:04:57 INFO       -> zero_window=0, throughput=5290KB/s, rtt_mean=15.6ms
11:04:57 INFO     [83/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.2%
11:05:18 INFO       -> zero_window=0, throughput=1699KB/s, rtt_mean=13.7ms
11:05:18 INFO     [84/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
11:05:44 INFO       -> zero_window=0, throughput=5406KB/s, rtt_mean=16.9ms
11:05:44 INFO     [85/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.1%
11:06:02 INFO       -> zero_window=0, throughput=260KB/s, rtt_mean=13.4ms
11:06:03 INFO     [86/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
11:06:22 INFO       -> zero_window=0, throughput=935KB/s, rtt_mean=17.5ms
11:06:23 INFO     [87/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.2%
11:06:41 INFO       -> zero_window=0, throughput=235KB/s, rtt_mean=13.4ms
11:06:41 INFO     [88/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
11:07:01 INFO       -> zero_window=0, throughput=900KB/s, rtt_mean=17.2ms
11:07:01 INFO     [89/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.1%
11:07:22 INFO       -> zero_window=0, throughput=1938KB/s, rtt_mean=16.8ms
11:07:22 INFO     [90/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
11:07:49 INFO       -> zero_window=0, throughput=5993KB/s, rtt_mean=18.5ms
11:07:49 INFO     [91/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.2%
11:08:09 INFO       -> zero_window=0, throughput=1344KB/s, rtt_mean=16.5ms
11:08:09 INFO     [92/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.2%, cc=bbr
11:08:35 INFO       -> zero_window=0, throughput=5166KB/s, rtt_mean=19.0ms
11:08:35 INFO     [93/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.1%
11:08:53 INFO       -> zero_window=0, throughput=347KB/s, rtt_mean=17.2ms
11:08:54 INFO     [94/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
11:09:13 INFO       -> zero_window=0, throughput=936KB/s, rtt_mean=19.4ms
11:09:14 INFO     [95/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.2%
11:09:32 INFO       -> zero_window=0, throughput=509KB/s, rtt_mean=18.0ms
11:09:32 INFO     [96/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
11:09:52 INFO       -> zero_window=0, throughput=880KB/s, rtt_mean=19.2ms
11:09:52 INFO     [97/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.1%
11:10:14 INFO       -> zero_window=0, throughput=2743KB/s, rtt_mean=14.0ms
11:10:14 INFO     [98/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
11:10:39 INFO       -> zero_window=0, throughput=4925KB/s, rtt_mean=15.6ms
11:10:40 INFO     [99/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.2%
11:11:00 INFO       -> zero_window=0, throughput=1721KB/s, rtt_mean=13.7ms
11:11:01 INFO     [100/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
11:11:24 INFO       -> zero_window=0, throughput=3887KB/s, rtt_mean=16.5ms
11:11:24 INFO     [101/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.1%
11:11:42 INFO       -> zero_window=0, throughput=246KB/s, rtt_mean=13.3ms
11:11:43 INFO     [102/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
11:12:03 INFO       -> zero_window=0, throughput=1025KB/s, rtt_mean=17.8ms
11:12:03 INFO     [103/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.2%
11:12:21 INFO       -> zero_window=0, throughput=266KB/s, rtt_mean=13.7ms
11:12:22 INFO     [104/144] buf=262144, delay=1ms, rate=10.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
11:12:41 INFO       -> zero_window=0, throughput=973KB/s, rtt_mean=18.0ms
11:12:42 INFO     [105/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.1%
11:13:03 INFO       -> zero_window=0, throughput=2192KB/s, rtt_mean=16.9ms
11:13:03 INFO     [106/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
11:13:30 INFO       -> zero_window=0, throughput=6318KB/s, rtt_mean=18.4ms
11:13:31 INFO     [107/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.2%
11:13:50 INFO       -> zero_window=0, throughput=1151KB/s, rtt_mean=16.5ms
11:13:50 INFO     [108/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±3ms loss=0.2%, cc=bbr
11:14:16 INFO       -> zero_window=0, throughput=5379KB/s, rtt_mean=18.8ms
11:14:17 INFO     [109/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.1%
11:14:35 INFO       -> zero_window=0, throughput=574KB/s, rtt_mean=18.0ms
11:14:36 INFO     [110/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
11:14:55 INFO       -> zero_window=0, throughput=913KB/s, rtt_mean=20.1ms
11:14:55 INFO     [111/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.2%
11:15:14 INFO       -> zero_window=0, throughput=821KB/s, rtt_mean=19.2ms
11:15:15 INFO     [112/144] buf=262144, delay=1ms, rate=10.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
11:15:34 INFO       -> zero_window=0, throughput=822KB/s, rtt_mean=19.5ms
11:15:35 INFO     [113/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.1%
11:15:56 INFO       -> zero_window=0, throughput=2395KB/s, rtt_mean=14.0ms
11:15:56 INFO     [114/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
11:16:21 INFO       -> zero_window=0, throughput=4928KB/s, rtt_mean=15.6ms
11:16:22 INFO     [115/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.2%
11:16:41 INFO       -> zero_window=0, throughput=1401KB/s, rtt_mean=13.6ms
11:16:42 INFO     [116/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
11:17:06 INFO       -> zero_window=0, throughput=4185KB/s, rtt_mean=17.0ms
11:17:06 INFO     [117/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.1%
11:17:24 INFO       -> zero_window=0, throughput=256KB/s, rtt_mean=13.9ms
11:17:24 INFO     [118/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
11:17:44 INFO       -> zero_window=0, throughput=930KB/s, rtt_mean=17.8ms
